internal_page_id,page_title,pageviews,users,sample_url
,ABBOTT PRO,5030,3906,https://abbottpro.ru/
,Профиль пользователя,2063,792,https://abbottpro.ru/personal/profile/edit/
,Регистрация,1323,958,https://abbottpro.ru/registration.php?type=7
,Авторизация,1036,932,https://abbottpro.ru/auth/
,ABBOTT PRO,948,835,https://abbottpro.ru/?confirm_email=yes
,Препараты и продукты,733,543,https://abbottpro.ru/preparation/
,Обсессивно-компульсивное расстройство в детском возрасте: обзор современных практик дифференциальной диагностики и терапии,455,326,https://abbottpro.ru/academy/videos/obsessivno-kompulsivnoye-rasstroystvo-v-detskom-vozraste-obzor-sovremennykh-praktik-differentsialnoy-diagnostiki-i-terapii?access_code=tqMGJKlZTi5sRmynXuAS1c30iWqD0
,Регистрационное тестирование фармацевта,297,196,https://abbottpro.ru/registration.php?type=8
,Калькуляторы и алгоритмы,188,106,https://abbottpro.ru/calculators-tables/
,Авторизация,184,118,https://abbottpro.ru/auth/?medRepId=
,Авторизация,178,132,https://abbottpro.ru/auth/?backurl=/personal/profile/edit/
,Дельфийский междисциплинарный консенсус по менопаузальной гормональной терапии,160,115,https://abbottpro.ru/academy/videos/delfiyskiy-mezhdistsiplinarniy-konsensus-po-menopauzalnoy-gormonalnoy-terapii?access_code=5NA7f6LpfszzMXkHv9kWx61Ys1U93cm6
,Авторизация,151,15,https://abbottpro.ru/auth/?backurl=/academy/articles/menopauzalnaya-gormonalnaya-terapiya
,Обратная связь,138,121,https://abbottpro.ru/feedback/
,Регистрационное тестирование врача,136,80,https://abbottpro.ru/registration.php?type=7&direction=624635
,О проекте,135,105,https://abbottpro.ru/about/
,Видео,134,60,https://abbottpro.ru/video/
,Мероприятия,116,72,https://abbottpro.ru/events/
,Управление сахарным диабетом,115,86,https://abbottpro.ru/diabet/
,Авторизация,101,89,https://abbottpro.ru/auth/?backurl=/video/
,Препараты и продукты,101,48,https://abbottpro.ru/preparation/?direction[]=
,Авторизация,96,76,https://abbottpro.ru/auth/?backurl=/events/
,Авторизация,88,80,https://abbottpro.ru/auth/?backurl=/calculators-tables/
,Схема дозирования Креон®,87,62,https://abbottpro.ru/calculators-tables/skhema-dozirovaniya-kreon/
,Авторизация,76,59,https://abbottpro.ru/auth/?backurl=/articles/
,Препараты и продукты,76,58,https://abbottpro.ru/preparation/?direction[]=&direction[]=624635
,Регистрационное тестирование врача,75,68,https://abbottpro.ru/registration.php?type=7
,Заменить антидепрессант,70,50,https://abbottpro.ru/calculators-tables/select-algorithm-antidepressant/change-algorithm/
,Запрос пароля,64,32,https://abbottpro.ru/auth/index.php?forgot_password=yes
,ABBOTT PRO,62,31,https://abbottpro.ru/#popup-form
,Авторизация,62,30,https://abbottpro.ru/auth/?backurl=/academy/articles/algoritmy-profilaktiki-obsledovaniya-i-lecheniya-patsientok-s-nezaplanirovannymi-krovotecheniyami-pr#item1
,Статьи,61,40,https://abbottpro.ru/articles/
,Дельфийский междисциплинарный консенсус по менопаузальной гормональной терапии,58,50,https://abbottpro.ru/academy/videos/delfiyskiy-mezhdistsiplinarniy-konsensus-po-menopauzalnoy-gormonalnoy-terapii
,Авторизация,57,46,https://abbottpro.ru/auth/?backurl=/calculators-tables/select-algorithm-antidepressant/change-algorithm/
,Авторизация,56,42,https://abbottpro.ru/auth/?backurl=/calculators-tables/select-algorithm-antidepressant/
,Регистрационное тестирование фармацевта,55,13,https://abbottpro.ru/registration.php?type=8&medRepId=aee9b4b1-e19e-4695-8589-cc5fcc1eb825
,"Сохранение репродуктивного здоровья как основа повышения рождаемости. Совместная позиция экспертов в области репродуктивной медицины, акушерства, гинекологии, эндокринологии и клинической фармакологии",54,39,https://abbottpro.ru/academy/articles/sokhranenie-reproduktivnogo-zdorovya-kak-osnova-povysheniya-rozhdaemosti-sovmestnaya-pozitsiya-ekspe?access_code=b4Cyo4WxBPDajsB4TeJJ2o5OiKwpb6
,Авторизация,52,38,https://abbottpro.ru/auth/?backurl=/calculators-tables/kalkulyator-serdechno-sosudistogo-riska/?utm_source=rte
,Обратная связь по мероприятиям,50,33,https://abbottpro.ru/event-feedback/?EventID=2C26D444-177C-482F-8F2B-4064A35E12AC
,Авторизация,50,14,https://abbottpro.ru/auth/?medRepId=b415a8e9-2105-43b8-862c-0eaf16e5368e
,Профиль пользователя,48,41,https://abbottpro.ru/personal/profile/edit/?confirm_email=yes
,Регистрационное тестирование фармацевта,48,11,https://abbottpro.ru/registration.php?type=8&medRepId=ba55e1c7-ef92-4b37-97b8-13ef8698d373
,Регистрационное тестирование фармацевта,47,15,https://abbottpro.ru/registration.php?type=8&medRepId=80eb008b-f75b-4244-9535-7411a356e402
,Регистрационное тестирование фармацевта,47,9,https://abbottpro.ru/registration.php?type=8&medRepId=f44f43cf-d85b-4d49-b7c0-833405d5f436
,Авторизация,46,12,https://abbottpro.ru/auth/?medRepId=607364f8-8e75-4ad1-a0aa-8195d9870e0e
,Авторизация,45,14,https://abbottpro.ru/auth/?backurl=/academy/videos/vrt-pri-endometrioze-kak-doyti-do-tseli-bystree
,Авторизация,44,24,https://abbottpro.ru/auth/?backurl=/events/?direction=262340
,Церепро,43,32,https://abbottpro.ru/academy/preparation/tserepro?access_code=tO6aWxr091hhcpYZkv3VftjYt16On6
,Живые дискуссии с лидерами мнений,42,32,https://abbottpro.ru/discussions/
,Обратная связь по мероприятиям,42,30,https://abbottpro.ru/event-feedback/?EventID=A02CFEF3-5FD4-4731-BA4B-B5032E48E102
,Калькуляторы и алгоритмы,41,27,https://abbottpro.ru/calculators-tables/?direction=624635
,Расчет доз суспензии Клацид®,40,28,https://abbottpro.ru/calculators-tables/raschet-doz-suspenzii-klatsid/
,Регистрационное тестирование фармацевта,38,14,https://abbottpro.ru/registration.php?type=8&medRepId=f2078603-5234-44e2-80a0-01c12a528ddc
,Регистрационное тестирование фармацевта,38,9,https://abbottpro.ru/registration.php?type=8&medRepId=9b9dcb85-a845-47ab-b365-b4938be532b4
,Авторизация,37,34,https://abbottpro.ru/auth/?backurl=/cdss/
,Таблицы и шкалы,37,14,https://abbottpro.ru/tables/
,Авторизация,37,11,https://abbottpro.ru/auth/?medRepId=6f279304-45de-4e9d-8ac7-c309e94f0d54
,Алгоритм старта МГТ,36,23,https://abbottpro.ru/calculators-tables/algoritmy/algoritm-1/
,Регистрационное тестирование фармацевта,36,13,https://abbottpro.ru/registration.php?type=8&medRepId=ebbab1c7-f6d2-4674-82be-67fb98736b47
,Регистрационное тестирование фармацевта,35,14,https://abbottpro.ru/registration.php?type=8&medRepId=9dfef996-36dc-46aa-bfa8-049a900a5302
,Регистрационное тестирование фармацевта,34,18,https://abbottpro.ru/registration.php?type=8&medRepId=03781e1f-0361-4dae-a59d-93219f3f9e69
,Регистрационное тестирование фармацевта,34,9,https://abbottpro.ru/registration.php?type=8&medRepId=cfe60272-2f52-41e6-88a1-c73350c03997
,Авторизация,33,28,https://abbottpro.ru/auth/?backurl=/nevro/mental-health/
,Калькулятор расчета доз и длительности терапии препаратом Верокутан,32,21,https://abbottpro.ru/calculators-tables/raschet-doz-verokutan/
,Регистрационное тестирование фармацевта,32,13,https://abbottpro.ru/registration.php?type=8&medRepId=03e91f19-b894-44d3-9c38-2af1f03d2026
,Регистрационное тестирование фармацевта,32,13,https://abbottpro.ru/registration.php?type=8&medRepId=e6fe4c9e-7036-4a14-9f93-8b8f852e53c9
,Регистрационное тестирование фармацевта,32,5,https://abbottpro.ru/registration.php?type=8&medRepId=87e286d9-c1ec-4690-ae67-e2ef404beb38
,Авторизация,31,26,https://abbottpro.ru/auth/?backurl=/nauchno-obrazovatelnye-broshyury/
,Правила применения рекомендательных технологий,31,25,https://abbottpro.ru/recomendation-technologies/
,Регистрационное тестирование фармацевта,30,11,https://abbottpro.ru/registration.php?type=8&medRepId=05cc2f0d-adb4-4e19-adb1-84bc732f2c77
,Регистрационное тестирование фармацевта,30,4,https://abbottpro.ru/registration.php?type=8&medRepId=cbe9b4fe-0ce1-44d7-b615-8698c2c8a62f
,"Проф. Амелин А.В. ""Маски"" депрессивного расстройства на приеме у невролога",29,21,https://abbottpro.ru/academy/videos/prof-amelin-a-v-maski-depressivnogo-rasstroystva-na-priyeme-u-nevrologa?access_code=Ya8V1kAjscDeabxdNf3ezLm39IESFx
,Авторизация,29,20,https://abbottpro.ru/auth/?backurl=/academy/videos/vystupleniye-maksima-valerevicha-zamergrada-na-veynovskikh-chteniyakh-2025-s-dokladom-tsentralnoye-pozitsionnoye-golovokruzheniye
,404 Not Found,29,13,https://abbottpro.ru/cdss/lpp/?access_code=2a7Cd9Swi75rDYctwMYPr3m6PY
,Регистрационное тестирование фармацевта,28,12,https://abbottpro.ru/registration.php?type=8&medRepId=350b6633-f490-451a-8546-fe8ecec26520
,Авторизация,28,8,https://abbottpro.ru/auth/?medRepId=978a7bb3-6a82-4ede-aa81-fdda63e7e1e4
,Регистрационное тестирование фармацевта,28,7,https://abbottpro.ru/registration.php?type=8&medRepId=3d36f6f0-5bf0-4bd5-a950-8070cb5cef98
,Авторизация,27,25,https://abbottpro.ru/auth_without_phone/
,Обзор данных о влиянии менопаузальной гормональной терапии на риск развития желчнокаменной болезни: результаты когортного исследования на основе базы данных медицинского страхования в Южной Корее,27,25,https://abbottpro.ru/academy/articles/obzor-dannykh-o-vliyanii-menopauzalnoy-gormonalnoy-terapii-na-risk-razvitiya-zhelchnokamennoy-bolezn?access_code=UStuJWhDkuuFXSTfTdzZS2azsY0vy52h&amp;utm_source=R
,Церепро 250 мг/мл,27,24,https://abbottpro.ru/academy/preparation/tserepro-250-mg-ml?access_code=N2TYUjCFN7MCoIvnBzMkMPAFyeaoPe
,Обратная связь по мероприятиям,27,23,https://abbottpro.ru/event-feedback/?EventID=9A20D0BD-0050-4778-ABB7-0CD69F243533
,Статьи,27,22,https://abbottpro.ru/articles/?direction[]=&direction[]=624635
,Дельфийский междисциплинарный консенсус по менопаузальной гормональной терапии,27,13,https://abbottpro.ru/academy/videos/delfiyskiy-mezhdistsiplinarniy-konsensus-po-menopauzalnoy-gormonalnoy-terapii?access_code=5NA7f6LpfszzMXkHv9kWx61Ys1U93cm6&amp;utm_source=rte&amp;utm_medium=video&a
,Регистрационное тестирование фармацевта,27,9,https://abbottpro.ru/registration.php?type=8&medRepId=f615ccb3-c8a8-49ad-b512-7e27de2b1f13
,Авторизация,27,8,https://abbottpro.ru/auth/?medRepId=b2e1311e-2c6a-47ec-8c55-4d851e4cb4ed
,Авторизация,26,19,https://abbottpro.ru/auth/?backurl=/calculators-tables/kalkulyator-serdechno-sosudistogo-riska/
,Авторизация,26,13,https://abbottpro.ru/auth/?medRepId=f85f6d60-87f5-4d38-b16b-e20cb2040728
,Авторизация,26,12,https://abbottpro.ru/auth/?backurl=/calculators-tables/algoritmy/algoritm-1/?last_question=2&question1=2&question2=2&question3=
,Научно-образовательные брошюры,26,12,https://abbottpro.ru/nauchno-obrazovatelnye-broshyury/
,Политика использования файлов cookies,25,23,https://abbottpro.ru/cookie/
,Проверить знания,25,18,https://abbottpro.ru/check-knowledge/
,Регистрация,25,12,https://abbottpro.ru/registration.php?type=7&medRepId=60c8f4af-e8e0-4b31-b613-8402b1003066
,Регистрация,25,9,https://abbottpro.ru/registration.php?type=7&medRepId=0e41519e-8acd-4b33-b92e-d442108c979c
,Регистрация,24,23,https://abbottpro.ru/registration.php
,Схема дозирования Креон®,24,17,https://abbottpro.ru/calculators-tables/skhema-dozirovaniya-kreon/?access_code=sdfkjhsd-232ho-hsfll-dsf
,Алгоритм перевода с КОК на МГТ,24,13,https://abbottpro.ru/calculators-tables/algoritmy/algoritm-3/
,Авторизация,23,23,https://abbottpro.ru/auth/?backurl=/respiratory-assistant/sovety-ot-ekspertov-first/
,Правила пользования сайтом,23,22,https://abbottpro.ru/rules/
,Приборы и устройства,23,18,https://abbottpro.ru/pribory/
,Регистрационное тестирование фармацевта,23,12,https://abbottpro.ru/registration.php?type=8&medRepId=1ba1c1f7-d0f6-4f0e-8b79-8babef7b3ff8
